method,run_dir,probe_seed,test_view,n_trials,n_subjects,balanced_accuracy,macro_f1,worst_class_recall,class_0_recall,class_1_recall,class_2_recall,class_3_recall
car_only,outputs/reve_benchmark_lock/car_only_s7,7,car,1734,19,0.5386123007112825,0.5351164853558351,0.39400921658986177,0.6436781609195402,0.5578703703703703,0.39400921658986177,0.558891454965358
car_only,outputs/reve_benchmark_lock/car_only_s7,7,cz,1734,19,0.5109516180971554,0.5041599399479503,0.31105990783410137,0.6068965517241379,0.4930555555555556,0.31105990783410137,0.6327944572748267
car_only,outputs/reve_benchmark_lock/car_only_s7,7,fz,1734,19,0.5305332798074847,0.525192375049218,0.37327188940092165,0.664367816091954,0.5856481481481481,0.37327188940092165,0.49884526558891457
car_only,outputs/reve_benchmark_lock/car_only_s7,7,native16@car,1734,19,0.3470125211795775,0.2988675359632068,0.020737327188940093,0.6758620689655173,0.39814814814814814,0.020737327188940093,0.29330254041570436
car_only,outputs/reve_benchmark_lock/car_only_s7,7,native16@cz,1734,19,0.36436954285692263,0.3122745140050102,0.01152073732718894,0.6689655172413793,0.4375,0.01152073732718894,0.3394919168591224
car_only,outputs/reve_benchmark_lock/car_only_s7,7,native16@fz,1734,19,0.36622775166575117,0.325911027536321,0.03456221198156682,0.5540229885057472,0.44907407407407407,0.03456221198156682,0.42725173210161665
car_only,outputs/reve_benchmark_lock/car_only_s7,7,native16@pz,1734,19,0.3656324693957764,0.3281341151737701,0.059907834101382486,0.4781609195402299,0.2916666666666667,0.059907834101382486,0.6327944572748267
car_only,outputs/reve_benchmark_lock/car_only_s7,7,native32@car,1734,19,0.4134370330687865,0.36373716822606494,0.06221198156682028,0.7310344827586207,0.5972222222222222,0.06221198156682028,0.2632794457274827
car_only,outputs/reve_benchmark_lock/car_only_s7,7,native32@cz,1734,19,0.4093966025505704,0.3666350128099015,0.07142857142857142,0.7034482758620689,0.5532407407407407,0.07142857142857142,0.3094688221709007
car_only,outputs/reve_benchmark_lock/car_only_s7,7,native32@fz,1734,19,0.4129381503956908,0.3563612169878693,0.03456221198156682,0.6942528735632184,0.6319444444444444,0.03456221198156682,0.2909930715935335
car_only,outputs/reve_benchmark_lock/car_only_s7,7,native32@pz,1734,19,0.422726386792118,0.39059756628645365,0.0967741935483871,0.639080459770115,0.5370370370370371,0.0967741935483871,0.418013856812933
car_only,outputs/reve_benchmark_lock/car_only_s7,7,pz,1734,19,0.5190173665314362,0.5170471636882675,0.3870967741935484,0.5793103448275863,0.4837962962962963,0.3870967741935484,0.625866050808314
car_only,outputs/reve_benchmark_lock/car_only_s21,21,car,1734,19,0.5264832052646553,0.5256732641144065,0.42626728110599077,0.5862068965517241,0.4675925925925926,0.42626728110599077,0.625866050808314
car_only,outputs/reve_benchmark_lock/car_only_s21,21,cz,1734,19,0.4972139287127537,0.4913012541152143,0.3248847926267281,0.4574712643678161,0.41435185185185186,0.3248847926267281,0.792147806004619
car_only,outputs/reve_benchmark_lock/car_only_s21,21,fz,1734,19,0.5167222925144224,0.5185727857800548,0.46296296296296297,0.5103448275862069,0.46296296296296297,0.4792626728110599,0.6143187066974596
car_only,outputs/reve_benchmark_lock/car_only_s21,21,native16@car,1734,19,0.35966033868322017,0.33752739623142886,0.10623556581986143,0.36551724137931035,0.3148148148148148,0.652073732718894,0.10623556581986143
car_only,outputs/reve_benchmark_lock/car_only_s21,21,native16@cz,1734,19,0.3649602818401885,0.35565043803852275,0.21016166281755197,0.30114942528735633,0.33101851851851855,0.6175115207373272,0.21016166281755197
car_only,outputs/reve_benchmark_lock/car_only_s21,21,native16@fz,1734,19,0.3344046408659836,0.3095742681144486,0.14318706697459585,0.19080459770114944,0.28703703703703703,0.716589861751152,0.14318706697459585
car_only,outputs/reve_benchmark_lock/car_only_s21,21,native16@pz,1734,19,0.379340867149468,0.36664513128472415,0.2199074074074074,0.2689655172413793,0.2199074074074074,0.663594470046083,0.3648960739030023
car_only,outputs/reve_benchmark_lock/car_only_s21,21,native32@car,1734,19,0.4106043911601296,0.4120309154251597,0.32873563218390806,0.32873563218390806,0.3680555555555556,0.543778801843318,0.4018475750577367
car_only,outputs/reve_benchmark_lock/car_only_s21,21,native32@cz,1734,19,0.40144480956053574,0.3997875470840883,0.28735632183908044,0.28735632183908044,0.33564814814814814,0.45852534562211983,0.5242494226327945
car_only,outputs/reve_benchmark_lock/car_only_s21,21,native32@fz,1734,19,0.41064310606919696,0.4141908626409845,0.35172413793103446,0.35172413793103446,0.3958333333333333,0.45852534562211983,0.43648960739030024
car_only,outputs/reve_benchmark_lock/car_only_s21,21,native32@pz,1734,19,0.3985260812419212,0.39592601748461453,0.28935185185185186,0.3471264367816092,0.28935185185185186,0.347926267281106,0.6096997690531177
car_only,outputs/reve_benchmark_lock/car_only_s21,21,pz,1734,19,0.4787740419474872,0.46893831404290964,0.2557603686635945,0.4528735632183908,0.39814814814814814,0.2557603686635945,0.8083140877598153
car_only,outputs/reve_benchmark_lock/car_only_s42,42,car,1734,19,0.5327492798566477,0.5287725851833599,0.3847926267281106,0.671264367816092,0.44907407407407407,0.3847926267281106,0.625866050808314
car_only,outputs/reve_benchmark_lock/car_only_s42,42,cz,1734,19,0.4988012003122053,0.49571734057414485,0.37327188940092165,0.5471264367816092,0.3912037037037037,0.37327188940092165,0.6836027713625866
car_only,outputs/reve_benchmark_lock/car_only_s42,42,fz,1734,19,0.5091143571608057,0.5024992878249845,0.31797235023041476,0.6574712643678161,0.41898148148148145,0.31797235023041476,0.6420323325635104
car_only,outputs/reve_benchmark_lock/car_only_s42,42,native16@car,1734,19,0.34871955214652994,0.28983035355892645,0.055299539170506916,0.5379310344827586,0.11342592592592593,0.055299539170506916,0.6882217090069284
car_only,outputs/reve_benchmark_lock/car_only_s42,42,native16@cz,1734,19,0.33668909914160605,0.27090951907896516,0.03225806451612903,0.4666666666666667,0.1111111111111111,0.03225806451612903,0.7367205542725174
car_only,outputs/reve_benchmark_lock/car_only_s42,42,native16@fz,1734,19,0.3332791576912097,0.25347525195492654,0.02534562211981567,0.40229885057471265,0.06944444444444445,0.02534562211981567,0.836027713625866
car_only,outputs/reve_benchmark_lock/car_only_s42,42,native16@pz,1734,19,0.33389641081862137,0.25164807632830744,0.009216589861751152,0.3816091954022989,0.08101851851851852,0.009216589861751152,0.8637413394919169
car_only,outputs/reve_benchmark_lock/car_only_s42,42,native32@car,1734,19,0.42249816583095545,0.4021358161178885,0.20967741935483872,0.6413793103448275,0.25925925925925924,0.20967741935483872,0.5796766743648961
car_only,outputs/reve_benchmark_lock/car_only_s42,42,native32@cz,1734,19,0.41850039897602687,0.4054400758276533,0.2488479262672811,0.5908045977011495,0.27314814814814814,0.2488479262672811,0.5612009237875288
car_only,outputs/reve_benchmark_lock/car_only_s42,42,native32@fz,1734,19,0.3942152524885906,0.35595467581683393,0.0944700460829493,0.6873563218390805,0.25,0.0944700460829493,0.5450346420323325
car_only,outputs/reve_benchmark_lock/car_only_s42,42,native32@pz,1734,19,0.4029860386390577,0.3708072655597274,0.10599078341013825,0.6022988505747127,0.2824074074074074,0.10599078341013825,0.6212471131639723
car_only,outputs/reve_benchmark_lock/car_only_s42,42,pz,1734,19,0.5109153545886399,0.5050855523683331,0.33410138248847926,0.5770114942528736,0.39351851851851855,0.33410138248847926,0.7390300230946882
joint_js_consistency,outputs/reve_benchmark_lock/joint_js_consistency_s7,7,car,1734,19,0.5375305643303573,0.5386645078006981,0.5,0.5448275862068965,0.5925925925925926,0.5,0.5127020785219399
joint_js_consistency,outputs/reve_benchmark_lock/joint_js_consistency_s7,7,cz,1734,19,0.5432977993620978,0.5417568463869178,0.4470046082949309,0.593103448275862,0.625,0.4470046082949309,0.5080831408775982
joint_js_consistency,outputs/reve_benchmark_lock/joint_js_consistency_s7,7,fz,1734,19,0.5386827425108429,0.5390925897653798,0.47575057736720555,0.5586206896551724,0.6180555555555556,0.5023041474654378,0.47575057736720555
joint_js_consistency,outputs/reve_benchmark_lock/joint_js_consistency_s7,7,native16@car,1734,19,0.4353388972552442,0.4337324124190497,0.3233256351039261,0.5333333333333333,0.4791666666666667,0.4055299539170507,0.3233256351039261
joint_js_consistency,outputs/reve_benchmark_lock/joint_js_consistency_s7,7,native16@cz,1734,19,0.4382390675121548,0.43604922066063745,0.3279445727482679,0.5310344827586206,0.4930555555555556,0.4009216589861751,0.3279445727482679
joint_js_consistency,outputs/reve_benchmark_lock/joint_js_consistency_s7,7,native16@fz,1734,19,0.4457966144427494,0.4465275772052989,0.3856812933025404,0.4827586206896552,0.5,0.4147465437788018,0.3856812933025404
joint_js_consistency,outputs/reve_benchmark_lock/joint_js_consistency_s7,7,native16@pz,1734,19,0.44743689118123153,0.44766933910366,0.3672055427251732,0.5195402298850574,0.4513888888888889,0.45161290322580644,0.3672055427251732
joint_js_consistency,outputs/reve_benchmark_lock/joint_js_consistency_s7,7,native32@car,1734,19,0.49769081041313534,0.49746793852165333,0.4423963133640553,0.5540229885057472,0.5509259259259259,0.4423963133640553,0.44341801385681295
joint_js_consistency,outputs/reve_benchmark_lock/joint_js_consistency_s7,7,native32@cz,1734,19,0.48501400255898136,0.48330009419121034,0.3787528868360277,0.5333333333333333,0.5694444444444444,0.45852534562211983,0.3787528868360277
joint_js_consistency,outputs/reve_benchmark_lock/joint_js_consistency_s7,7,native32@fz,1734,19,0.48561930680242144,0.48458843940114626,0.39631336405529954,0.5379310344827586,0.5648148148148148,0.39631336405529954,0.44341801385681295
joint_js_consistency,outputs/reve_benchmark_lock/joint_js_consistency_s7,7,native32@pz,1734,19,0.4919370078993808,0.49206850007360536,0.40877598152424943,0.5172413793103449,0.5555555555555556,0.4861751152073733,0.40877598152424943
joint_js_consistency,outputs/reve_benchmark_lock/joint_js_consistency_s7,7,pz,1734,19,0.5485020006585297,0.5485261125884333,0.5034642032332564,0.5586206896551724,0.6273148148148148,0.5046082949308756,0.5034642032332564
joint_js_consistency,outputs/reve_benchmark_lock/joint_js_consistency_s21,21,car,1734,19,0.5278084211554281,0.525805441396892,0.3640552995391705,0.5333333333333333,0.5949074074074074,0.3640552995391705,0.6189376443418014
joint_js_consistency,outputs/reve_benchmark_lock/joint_js_consistency_s21,21,cz,1734,19,0.5036016060330348,0.4927424937640259,0.2557603686635945,0.5494252873563218,0.5925925925925926,0.2557603686635945,0.6166281755196305
joint_js_consistency,outputs/reve_benchmark_lock/joint_js_consistency_s21,21,fz,1734,19,0.5185878465200563,0.5156391396007004,0.35023041474654376,0.5287356321839081,0.6018518518518519,0.35023041474654376,0.5935334872979214
joint_js_consistency,outputs/reve_benchmark_lock/joint_js_consistency_s21,21,native16@car,1734,19,0.4429311433989698,0.44084806373005847,0.3248847926267281,0.5103448275862069,0.5023148148148148,0.3248847926267281,0.4341801385681293
joint_js_consistency,outputs/reve_benchmark_lock/joint_js_consistency_s21,21,native16@cz,1734,19,0.4481502547733759,0.44303825878153813,0.3294930875576037,0.5195402298850574,0.5648148148148148,0.3294930875576037,0.3787528868360277
joint_js_consistency,outputs/reve_benchmark_lock/joint_js_consistency_s21,21,native16@fz,1734,19,0.4412242018009075,0.4397269873812724,0.33410138248847926,0.4781609195402299,0.49074074074074076,0.33410138248847926,0.4618937644341801
joint_js_consistency,outputs/reve_benchmark_lock/joint_js_consistency_s21,21,native16@pz,1734,19,0.45794535770785205,0.4561778138088242,0.3433179723502304,0.503448275862069,0.5115740740740741,0.3433179723502304,0.47344110854503463
